Stations-ID;Stationsname;Bundesland;von;bis;Hoehe;geoBreite;geoLaenge
15000;Aachen-Orsbach;Nordrhein-Westfalen;20110401;20150324;231;50,7982;6,0244
7374;Ahaus;Nordrhein-Westfalen;20060301;20150324;46;52,0814;6,941
71;Albstadt-Badkap;Baden-Württemberg;20091201;20150324;759;48,2155;8,9784
73;Aldersbach-Kriestorf;Bayern;20070401;20150324;340;48,6159;13,0506
7367;Alfeld;Niedersachsen;20071201;20150324;144;51,9644;9,8072
78;Alfhausen;Niedersachsen;20041101;20150324;65;52,485;7,9119
91;Alsfeld-Eifa;Hessen;20040901;20150324;300;50,7446;9,345
125;Altenstadt;Bayern;19710104;20150324;756;47,8342;10,8667
4189;Altheim, Kreis Biberach;Baden-Württemberg;20040801;20150324;533;48,1479;9,4596
142;Altomünster-Maisbrunn;Bayern;19820101;20150324;510;48,4059;11,3117
150;Alzey;Rheinland-Pfalz;20050701;20150324;215;49,7272;8,116
151;Amberg-Unterammersricht;Bayern;20050301;20150324;383;49,4689;11,8547
154;Amerang-Pfaffing;Bayern;20050301;20150324;515;48,0197;12,2924
161;Andernach;Rheinland-Pfalz;20110901;20150324;75;50,4238;7,4203
164;Angermünde;Brandenburg;19560101;20150324;54;53,0316;13,9907
167;Anklam;Mecklenburg-Vorpommern;20040901;20150324;9;53,8412;13,6846
183;Arkona;Mecklenburg-Vorpommern;19730101;20150324;42;54,6792;13,4343
7330;Arnsberg-Neheim;Nordrhein-Westfalen;20051001;20150324;159;51,4634;7,978
191;Arnstein-Müdesheim;Bayern;20041104;20150324;220;49,9695;9,9113
198;Artern;Thüringen;19610101;20150324;164;51,3745;11,292
3226;Aschersleben-Mehringen;Sachsen-Anhalt;20060801;20150324;107;51,7259;11,5111
217;Attenkam;Bayern;20050101;20150324;672;47,8774;11,3642
222;Aue;Sachsen;19820101;20150324;387;50,5907;12,714
232;Augsburg;Bayern;19550101;20150324;461;48,4254;10,942
257;Baden-Baden-Geroldsau;Baden-Württemberg;20021101;20150324;240;48,727;8,2458
282;Bamberg;Bayern;19610101;20150324;240;49,8742;10,9206
294;Barsinghausen-Hohenbostel;Niedersachsen;20040701;20150324;110;52,3198;9,4299
298;Barth;Mecklenburg-Vorpommern;19810101;20150324;3;54,3406;12,7108
303;Baruth;Brandenburg;19930819;20150324;55;52,0614;13,4996
5822;Bassum;Niedersachsen;20040701;20150324;40;52,8629;8,6982
330;Beerfelden;Hessen;20040801;20150324;450;49,5617;8,9679
342;Belm;Niedersachsen;20101201;20150324;103;52,317;8,1693
5825;Berge;Brandenburg;20040501;20150324;40;52,6198;12,7867
368;Bergen;Niedersachsen;20020101;20150324;70;52,8152;9,9248
377;Bergzabern, Bad;Rheinland-Pfalz;20041001;20150324;252;49,1071;7,9963
390;Berleburg, Bad-Stünzel;Nordrhein-Westfalen;20040701;20150324;610;50,9837;8,3679
396;Berlin-Alexanderplatz (135m);Berlin;19700501;20150324;37;52,5209;13,4094
397;Berlin-Alexanderplatz (260m);Berlin;19700101;20150324;37;52,5209;13,4094
398;Berlin-Alexanderplatz (365m);Berlin;19700101;20150324;37;52,5208;13,4094
400;Berlin-Buch;Berlin;19910101;20150324;60;52,6309;13,5022
403;Berlin-Dahlem (FU);Berlin;20020101;20150324;51;52,4578;13,3101
410;Berlin-Kaniswall;Berlin;20040501;20150324;33;52,404;13,7309
420;Berlin-Marzahn;Berlin;20070801;20150324;60;52,5447;13,5598
427;Berlin-Schönefeld;Brandenburg;19730101;20150324;46;52,3807;13,5306
430;Berlin-Tegel;Berlin;19860101;20150324;36;52,5644;13,3088
433;Berlin-Tempelhof;Berlin;19510101;20150324;48;52,4675;13,4021
445;Bernburg/Saale (Nord);Sachsen-Anhalt;20050701;20150324;84;51,8218;11,7109
2252;Bertsdorf-Hörnitz;Sachsen;20050701;20150324;270;50,8994;14,7456
460;Berus;Saarland;19610101;20150324;363;49,264;6,6868
2323;Bevern, Kr. Holzminden;Niedersachsen;20060701;20150324;110;51,8539;9,4964
7106;Bielefeld-Deppendorf;Nordrhein-Westfalen;20060901;20150324;105;52,0714;8,4568
1411;Birx/Rhön;Thüringen;20070101;20150324;745;50,5309;10,048
535;Blankenrath;Rheinland-Pfalz;20040601;20150324;417;50,0355;7,3048
555;Bochum;Nordrhein-Westfalen;20080101;20150324;101;51,4789;7,2697
591;Boizenburg;Mecklenburg-Vorpommern;19730101;20150324;45;53,3911;10,6878
596;Boltenhagen;Mecklenburg-Vorpommern;19730101;20150324;15;54,0028;11,1908
603;Bonn-Roleber;Nordrhein-Westfalen;20010403;20150324;159;50,7349;7,1931
617;Borken in Westfalen;Nordrhein-Westfalen;20040601;20150324;48;51,8728;6,8862
7373;Borkum-Flugplatz;Niedersachsen;20060301;20150324;3;53,5984;6,7024
656;Braunlage;Niedersachsen;19480101;20150324;607;51,7234;10,6021
662;Braunschweig;Niedersachsen;19510101;20150324;81;52,2914;10,4465
691;Bremen;Bremen;19490101;20150324;4;53,0445;8,7985
701;Bremerhaven;Bremen;19490101;20150324;7;53,5332;8,5761
704;Bremervörde;Niedersachsen;19910101;20150324;10;53,4451;9,139
6264;Brilon-Thülen;Nordrhein-Westfalen;20040601;20150324;457;51,4143;8,6498
722;Brocken;Sachsen-Anhalt;19510101;20150324;1134;51,7986;10,6183
766;Büchel (Flugplatz);Rheinland-Pfalz;20020101;20150324;477;50,1746;7,0595
755;Buchen, Kr. Neckar-Odenwald;Baden-Württemberg;20040601;20150324;340;49,5181;9,3214
757;Buchenbach;Baden-Württemberg;20040601;20150324;445;47,9624;7,998
769;Bückeburg;Niedersachsen;20020101;20150324;68;52,2817;9,0889
817;Burgwald-Bottendorf;Hessen;20050201;20150324;293;51,0306;8,8146
840;Carlsfeld;Sachsen;19910101;20150324;897;50,4313;12,6114
850;Celle;Niedersachsen;20020101;20150324;39;52,5959;10,0296
853;Chemnitz;Sachsen;19510101;20150324;418;50,7913;12,872
856;Chieming;Bayern;19910101;20150324;551;47,8843;12,5404
3164;Cölbe, Kr. Marburg-Biedenkopf;Hessen;20060701;20150324;182;50,8492;8,7746
6170;Coschen;Brandenburg;20040601;20150324;40;52,0192;14,7254
880;Cottbus;Brandenburg;19560101;20150324;69;51,776;14,3168
891;Cuxhaven;Niedersachsen;19510101;20150324;5;53,8713;8,7058
896;Dachwig;Thüringen;20040801;20150324;170;51,0773;10,8626
917;Darmstadt;Hessen;20040901;20150324;162;49,8809;8,6779
6273;Demker;Sachsen-Anhalt;20040601;20150324;36;52,5072;11,8549
953;Deuselbach;Rheinland-Pfalz;19550101;20150324;481;49,7619;7,0541
7343;Deutschneudorf-Brüderwiese;Sachsen;20060401;20150324;688;50,6199;13,4816
963;Diepholz;Niedersachsen;19940103;20150324;39;52,5881;8,3424
979;Dillenburg;Hessen;20040901;20150324;314;50,7313;8,2622
983;Dillingen/Donau-Fristingen;Bayern;20061201;20150324;419;48,5562;10,5599
991;Dippoldiswalde-Reinberg;Sachsen;20050201;20150324;365;50,9169;13,713
1001;Doberlug-Kirchhain;Brandenburg;19810101;20150324;97;51,6451;13,5747
7319;Donauwörth-Osterweiler;Bayern;20050301;20150324;434;48,7351;10,7415
6163;Dörnick;Schleswig-Holstein;20010401;20150324;26;54,1654;10,3519
6159;Dörpen;Niedersachsen;20081201;20150324;8;52,9542;7,3196
1050;Dresden-Hosterwitz;Sachsen;20060401;20150324;114;51,0221;13,847
1048;Dresden-Klotzsche;Sachsen;19730101;20150324;227;51,128;13,7543
1051;Dresden-Strehlen;Sachsen;20070301;20150324;119;51,024;13,7737
1052;Drewitz bei Burg;Sachsen-Anhalt;20040701;20150324;80;52,2172;12,1635
13670;Duisburg-Baerl;Nordrhein-Westfalen;20070601;20150324;25;51,5087;6,7015
1072;Dürkheim, Bad;Rheinland-Pfalz;20040601;20150324;107;49,4719;8,1929
1078;Düsseldorf;Nordrhein-Westfalen;19760301;20150324;37;51,296;6,7686
1103;Ebersberg-Halbing;Bayern;20061001;20150324;592;48,1002;11,9872
1107;Ebrach;Bayern;20041201;20150324;346;49,852;10,499
1161;Eichstätt-Landershofen;Bayern;20050201;20150324;384;48,8779;11,2347
7368;Eisenach;Thüringen;20071101;20150324;312;51,0007;10,3621
1197;Ellwangen-Rindelbach;Baden-Württemberg;19480101;20150324;460;48,9895;10,1312
1200;Elpersbüttel;Schleswig-Holstein;20020101;20150324;3;54,0691;9,0106
7075;Elsendorf-Horneck;Bayern;20050201;20150324;425;48,7021;11,8494
1207;Elster, Bad-Sohl;Sachsen;20060301;20150324;560;50,2707;12,2738
1214;Elzach-Fisnacht;Baden-Württemberg;20040801;20150324;440;48,2012;8,1089
5839;Emden;Niedersachsen;19970701;20150324;0;53,3881;7,2287
1224;Emmendingen-Mundingen;Baden-Württemberg;20021201;20150324;201;48,1378;7,8351
1255;Eppingen-Elsenz;Baden-Württemberg;20021201;20150324;220;49,1664;8,8523
1266;Erfde;Schleswig-Holstein;20040601;20150324;18;54,2989;9,3161
1270;Erfurt-Weimar;Thüringen;19510101;20150324;316;50,9829;10,9608
1297;Eschwege;Hessen;20041001;20150324;170;51,1834;10,0638
1300;Eslohe;Nordrhein-Westfalen;20040601;20150324;351;51,254;8,1563
1303;Essen-Bredeney;Nordrhein-Westfalen;19510101;20150324;150;51,404;6,9676
14138;Falkenberg (Grenzschichtmessfeld);Brandenburg;20090915;20150324;73;52,1655;14,1224
1332;Falkenberg,Kr.Rottal-Inn;Bayern;20050301;20150324;472;48,4832;12,724
1339;Faßberg;Niedersachsen;20020101;20150324;73;52,9157;10,1885
5516;Fehmarn;Schleswig-Holstein;19960531;20150324;3;54,5284;11,0605
7351;Feldberg/Mecklenburg;Mecklenburg-Vorpommern;20050908;20150324;115;53,3175;13,4175
1346;Feldberg/Schwarzwald;Baden-Württemberg;19520101;20150324;1490;47,8749;8,0038
7369;Feuchtwangen-Heilbronn;Bayern;20071101;20150324;475;49,1623;10,3662
1358;Fichtelberg;Sachsen;19510101;20150324;1213;50,4283;12,9535
1357;Fichtelberg/Oberfranken-Hüttstadl;Bayern;20050301;20150324;657;49,9807;11,8376
1420;Frankfurt/Main;Hessen;19810101;20150324;100;50,026;8,5215
1424;Frankfurt/Main-Westend;Hessen;20080801;20150324;124;50,1269;8,6694
1443;Freiburg;Baden-Württemberg;19510101;20150324;236;48,0233;7,8344
1451;Freiburg/Elbe;Niedersachsen;20040601;20150324;2;53,8278;9,2486
7187;Freudenberg/Main-Boxtal;Baden-Württemberg;20041201;20150324;193;49,7636;9,4053
1468;Freudenstadt;Baden-Württemberg;19510101;20150324;797;48,4537;8,4091
1473;Freystadt-Oberndorf;Bayern;20060101;20150324;436;49,1782;11,3736
6258;Friedrichshafen-Unterraderach;Baden-Württemberg;20030101;20150324;459;47,6845;9,4409
1503;Friesoythe-Altenoythe;Niedersachsen;20121001;20150324;6;53,0643;7,9022
1504;Fritzlar (Flugplatz);Hessen;20020101;20150324;172;51,119;9,2799
5856;Fürstenzell;Bayern;19970101;20150324;476;48,5451;13,3531
1544;Gardelegen;Sachsen-Anhalt;19510101;20150324;47;52,5129;11,3941
1550;Garmisch-Partenkirchen;Bayern;19480101;20150324;719;47,4831;11,0623
3234;Garsebach bei Meißen;Sachsen;20050201;20150324;157;51,1294;13,4327
1580;Geisenheim;Hessen;19460101;20150324;110;49,9859;7,9549
1584;Geisingen;Baden-Württemberg;20090601;20150324;672;47,9241;8,6471
1587;Gelbelsee;Bayern;19910101;20150324;536;48,9481;11,4289
1590;Geldern-Walbeck;Nordrhein-Westfalen;20030701;20150324;37;51,4943;6,2463
1605;Genthin;Sachsen-Anhalt;19820101;20150324;35;52,3875;12,1601
1612;Gera-Leumnitz;Thüringen;19730101;20150324;311;50,8813;12,1289
131;Geringswalde-Altgeringswalde;Sachsen;20041101;20150324;296;51,088;12,9328
13700;Gevelsberg-Oberbröking;Nordrhein-Westfalen;20080501;20150324;205;51,3329;7,3411
1639;Gießen/Wettenberg;Hessen;19500101;20150324;203;50,6017;8,6439
1645;Gilserberg-Moischeid;Hessen;20040501;20150324;340;50,9656;9,05
1666;Glücksburg-Meierwik;Schleswig-Holstein;20020101;20150324;27;54,8273;9,5057
1694;Goldberg;Mecklenburg-Vorpommern;19810101;20150324;58;53,606;12,1033
5149;Gollhofen;Bayern;20050101;20150324;308;49,5742;10,1916
1684;Görlitz;Sachsen;19510101;20150324;238;51,1622;14,9506
7395;Gottfrieding;Bayern;20071201;20150324;350;48,6596;12,5388
1691;Göttingen;Niedersachsen;19480101;20150324;167;51,5003;9,9506
1721;Gräfenberg-Kasberg;Bayern;20061001;20150324;506;49,6639;11,2239
1735;Grainet-Rehberg;Bayern;20050301;20150324;628;48,7893;13,6291
1736;Grambek;Schleswig-Holstein;20020124;20150324;27;53,5732;10,6795
6109;Grambow-Schwennenz;Mecklenburg-Vorpommern;20040901;20150324;50;53,3837;14,3728
1757;Greifswald;Mecklenburg-Vorpommern;19780101;20150324;2;54,0967;13,4056
1759;Greifswalder Oie;Mecklenburg-Vorpommern;20001025;20150324;12;54,2437;13,9102
1803;Groß Lüsewitz;Mecklenburg-Vorpommern;19910101;20150324;34;54,0714;12,3238
44;Großenkneten;Niedersachsen;20070401;20150324;44;52,9335;8,237
1832;Großer Arber;Bayern;19821101;20150324;1436;49,113;13,1342
6259;Großerlach-Mannenweiler;Baden-Württemberg;20040601;20150324;523;49,021;9,6032
1863;Gründau-Breitenborn;Hessen;20071201;20150324;258;50,2663;9,1878
1869;Grünow;Brandenburg;19810101;20150324;56;53,3153;13,9338
5871;Hahn;Rheinland-Pfalz;19970701;20150324;497;49,9462;7,2645
1957;Halle-Kröllwitz;Sachsen-Anhalt;19530101;20150323;93;51,5138;11,9499
1975;Hamburg-Fuhlsbüttel;Hamburg;19490101;20150324;11;53,6332;9,9881
1981;Hamburg-Neuwiedenthal;Hamburg;20050301;20150324;3;53,4777;9,8957
13675;Hameln-Hastenbeck;Niedersachsen;20071101;20150324;77;52,0817;9,4072
2014;Hannover;Niedersachsen;19490101;20150324;55;52,4644;9,6779
2023;Harburg;Bayern;20020101;20150324;502;48,7918;10,7062
2039;Harzburg, Bad;Niedersachsen;20061101;20150324;201;51,9;10,5701
2044;Harzgerode;Sachsen-Anhalt;19810101;20150324;404;51,652;11,1367
7298;Hattstedt;Schleswig-Holstein;20050701;20150324;5;54,5266;9,0425
2074;Hechingen;Baden-Württemberg;20040601;20150324;522;48,3751;8,9801
7389;Heckelberg;Brandenburg;20061201;20150324;82;52,7461;13,8427
320;Heinersreuth-Vollhof;Bayern;20060701;20150324;350;49,9667;11,5197
2110;Heinsberg-Schleiden;Nordrhein-Westfalen;20030101;20150324;57;51,0412;6,1041
2115;Helgoland;Schleswig-Holstein;19520501;20150324;4;54,175;7,892
13777;Helmstedt-Emmerstedt;Niedersachsen;20080601;20150324;110;52,2464;10,9589
7331;Hermaringen-Allewind;Baden-Württemberg;20050901;20150324;468;48,6096;10,2682
2171;Hersfeld, Bad;Hessen;19510101;20150324;272;50,8519;9,7378
2174;Herzberg;Niedersachsen;20101101;20150324;238;51,6254;10,3704
2201;Hiddensee-Vitte;Mecklenburg-Vorpommern;20050801;20150324;1;54,575;13,1044
2211;Hilgenroth;Rheinland-Pfalz;20041001;20150324;295;50,7371;7,6528
2261;Hof;Bayern;19480101;20150324;565;50,3122;11,8761
2290;Hohenpeißenberg;Bayern;19470101;20150324;977;47,8009;11,0109
7396;Hoherodskopf/Vogelsberg;Hessen;20080501;20150324;743;50,5084;9,2247
2303;Hohn;Schleswig-Holstein;20020101;20150324;10;54,3146;9,539
2306;Hohwacht;Schleswig-Holstein;20050801;20150324;8;54,3195;10,6733
2315;Holzdorf (Flugplatz);Brandenburg;20021101;20150324;81;51,7657;13,1666
2319;Holzkirchen;Bayern;20050601;20150324;685;47,8823;11,6962
7393;Hoyerswerda;Sachsen;20100101;20150324;116;51,4493;14,2533
2362;Hümmerich;Rheinland-Pfalz;20040801;20150324;328;50,5652;7,4839
2385;Idar-Oberstein;Rheinland-Pfalz;20020101;20150324;376;49,6927;7,3264
6260;Ingelfingen-Stachenhausen;Baden-Württemberg;20021201;20150324;385;49,3325;9,7039
2410;Ingolstadt (Flugplatz);Bayern;19610102;20150324;364;48,7112;11,5362
2429;Itzehoe;Schleswig-Holstein;20020101;20150324;21;53,9897;9,5696
2444;Jena (Sternwarte);Thüringen;19910801;20150324;155;50,9251;11,583
7364;Jeßnitz;Sachsen-Anhalt;20070101;20150324;74;51,682;12,3042
